------------------   Performance of Quick Sort  ------------------------


n       Pivot type        Random                     Sorted                       Almost Sorted


10000      0         0.00848900000000000002         0.02350700000000000012       0.00632100000000000023

10000      1         0.00205000000000000017         0.00144999999999999990       0.00124700000000000006

10000      2         0.00163999999999999996         0.00358299999999999981       0.00109200000000000009

10000      3         0.00149400000000000010         0.00074200000000000004       0.00079799999999999999




100000     0         0.01943800000000000042         0.14216100000000000958       0.07763200000000000656

100000     1         0.01969100000000000017         0.01540599999999999956       0.01397299999999999931

100000     2         0.01958599999999999924         0.09989399999999999669       0.01866999999999999910

100000     3         0.01897300000000000028         0.00903799999999999916       0.01046200000000000081



1000000    0         0.22604499999999999593         4.43496100000000037511       1.91139100000000006219

1000000    1         0.22933899999999998731         0.14891199999999998882       0.15568699999999999206

1000000    2         0.21812699999999998757         3.07744900000000010110       0.26696100000000000385

1000000    3         0.21780499999999999861         0.09969300000000000384       0.11205600000000000283



10000000   0         2.55255099999999979232         139.03576599999999530155     33.09801099999999962620

10000000   1         2.70114700000000018676         1.73266999999999993243       1.84910400000000008092

10000000   2         2.53257600000000016038         97.58990900000000578984       3.45364300000000001845

10000000   3         2.55535500000000004306         1.18230300000000010385       1.30543900000000001604
















